Feature,TargetFeature,SHAPValue,LogSHAPValue
EIF4B,WDR11,0.0033106754914368,-5.7106030344510526
MIA2,WDR11,0.0074021390520206,-4.905986259458254
CAMK2B,MAVS,0.0175724739827863,-4.0414215794794695
USP24,MAVS,0.0795599922077111,-2.5312439229386645
CAMSAP1,MAVS,0.002082377769982,-6.174244879532025
PCBP2,MAVS,0.0026026117967836,-5.95123980094012
SVIL,MAVS,0.0059832801784199,-5.1187863365849635
RAI1,MAVS,0.001712294806301,-6.369920816145122
SON,MAVS,0.0182718025801989,-4.002396250065653
FAM83B,MAVS,0.003911708108897,-5.543781143883484
LRRFIP2,TOP1,0.0025229932935338,-5.982309267458418
TTN,TOP1,0.0055918615161205,-5.186443038999534
COBL,TOP1,0.002935471336826,-5.8308872468320105
XIRP1,TOP1,0.0023374112188499,-6.058711278763422
BCOR,TOP1,0.0112208753438849,-4.489979365541679
CALD1,TOP1,0.0126251601797116,-4.3720636163992905
BMI1,TOP1,0.0007589544533425,-7.183568791140653
ABLIM1,TOP1,0.0072808436659511,-4.922508535307963
FLNC,TOP1,0.0042003240521002,-5.472593601407176
FAM83F,AGPS,0.0007867573230136,-7.147590714133493
ABLIM1,AGPS,0.0155609378779934,-4.162991487113044
BRD8,AGPS,0.0339266237800709,-3.3835552105873066
PFDN4,AGPS,0.0061247662533721,-5.095414685994321
